
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
7378	 1383	 10574	 6051	 7622	 7647	 7725	 5117	 7574	 7567	 7960	 7959	 7550	 5197
7452	 1333	 10222	 6112	 8018	 8045	 7792	 5144	 7662	 7696	 7938	 7912	 7678	 5216
7680	 2096	 12964	 8602	 7689	 7712	 7728	 4212	 7666	 7732	 7936	 7946	 7716	 4266
7718	 1431	 10841	 6273	 7589	 8072	 8194	 5334	 8111	 8195	 8197	 8183	 8254	 5382
7480	 1908	 11196	 6845	 7610	 8534	 8612	 4114	 8542	 6268	 8582	 8561	 6560	 4341
7532	 1906	 11277	 7009	 7911	 8505	 8589	 4202	 8467	 6253	 8638	 8573	 6639	 4332
7693	 1681	 11691	 6101	 8796	 8809	 7640	 5148	 7541	 7646	 8017	 8026	 7685	 5223
7886	 1934	 12596	 6084	 9340	 9367	 7926	 5142	 7569	 7655	 8052	 8030	 7683	 5198
7898	 1657	 11721	 6520	 8793	 8787	 8103	 5536	 7991	 6279	 8713	 8657	 8085	 5593
7617	 1614	 11474	 6083	 8079	 8144	 7671	 5109	 7564	 7654	 8424	 8362	 7680	 5162
7846	 2470	 15322	 6055	 8001	 8062	 7663	 5193	 7596	 7700	 7830	 7861	 7640	 5232
7489	 1482	 11061	 6082	 7886	 7880	 7645	 5156	 7577	 7664	 8084	 8000	 7621	 5213
7686	 1599	 11356	 6066	 7935	 7925	 8365	 5159	 8272	 7629	 8395	 8379	 7563	 5192
7742	 1794	 11965	 6002	 8231	 8229	 8863	 4991	 8659	 7488	 8045	 7938	 7444	 5060
7593	 1461	 11145	 6238	 7949	 7948	 7946	 5299	 7846	 7761	 7989	 7950	 7708	 5344
7520	 1583	 11289	 6011	 7815	 7809	 7890	 5043	 7729	 7518	 8346	 8226	 7471	 5098
7446	 1518	 11083	 6025	 7765	 7772	 7834	 5037	 7715	 7520	 8022	 7977	 7495	 5117
8358	 2194	 12928	 6012	 9753	 9762	 10005	 5070	 9852	 8521	 7917	 7840	 7511	 5133
7407	 1498	 11033	 5985	 7775	 7774	 7821	 5061	 7714	 7516	 7830	 7798	 7469	 5118
7417	 1499	 11071	 5979	 7743	 7753	 7855	 5075	 7731	 7549	 7823	 7792	 7501	 5135
7523	 1585	 11404	 5979	 7974	 8001	 7821	 5067	 7696	 7809	 7842	 7806	 7756	 5127
7419	 1800	 11131	 6580	 7784	 8094	 8136	 4249	 8134	 6261	 8125	 8108	 8145	 4288
7668	 1875	 11413	 6713	 7796	 8439	 8526	 4253	 8479	 6308	 8507	 8490	 8531	 4561
7347	 1789	 11144	 6479	 7758	 7992	 7996	 4166	 7936	 6310	 7980	 7961	 8138	 4310
7460	 1444	 10937	 6085	 7749	 7740	 7709	 5181	 7663	 7708	 8005	 7867	 7657	 5221
7549	 1546	 11256	 6076	 8278	 8274	 7744	 5136	 7704	 7648	 7851	 7830	 7602	 5197
7703	 1634	 11479	 6108	 8659	 8667	 7710	 5148	 7623	 7662	 8272	 8262	 7625	 5227
7802	 1751	 11922	 6065	 8776	 8777	 7719	 5211	 7630	 7667	 8549	 8518	 7629	 5168
7575	 1544	 11319	 6125	 7835	 7837	 7745	 5170	 7673	 7704	 8288	 8273	 7683	 5259
7474	 1507	 11105	 6045	 7857	 7860	 7824	 5103	 7661	 7625	 7960	 7917	 7582	 5157
7601	 1616	 11495	 6020	 7885	 7877	 8404	 5115	 8309	 7596	 7910	 7896	 7554	 5153
9997	 2039	 14174	 8868	 9935	 10230	 11475	 6274	 11420	 10378	 10260	 10210	 10311	 6429
7532	 1467	 10905	 6105	 7812	 7801	 8161	 5122	 8124	 7673	 7945	 7912	 7613	 5211
